Id	Name	Script	Type	Des	BgIcon	Icon	Expend	Arg	Effects	
唯一的标识（不能重复）	名称	卡牌添加的脚本	卡牌类型的Id	描述	卡牌的背景图资源路径	图标资源的路径	消耗的费用	属性值	特效	
1000	蓝焰的灼烧	BlueFireCard	10001	造成{0}点伤害，使敌人烧伤，每回合造成{1}点伤害，持续{2}回合	Icon/BlueCard	card/004	2	4/3/3	Effects/GreenBloodExplosion	
1001	防御	DefendCard	10002	增加{0}点护盾	Icon/GreenCard	card/002	1	5	Effects/SpinZoneBlue	
1002	无中生有	AddCard	10003	从卡组中抽出{0}张卡片	Icon/RedCard	card/044	0	2	Effects/SmokeExplosionDark	
1003	攻击	AttackCardItem	10001	对单个敌人进行{0}点的伤害	Icon/BlueCard	card/001	1	6	Effects/GreenBloodExplosion	
1004	烈焰风暴	AOEArrackCardItem	10001	对随机敌人进行{0}点的伤害	Icon/BlueCard	card/003	1	15	Effects/GreenBloodExplosion	
1005	仪式	RitualCard	10001	对自己造成{0}点伤害，获得{1}格挡	Icon/BlueCard	card/005	1	3/15	Effects/GreenBloodExplosion	
1006	蓝色的太阳	BlueSumCard	10001	对随机两位敌人造成{0}点伤害，使敌人烧伤每回合造成{1}点伤害，持续{2}回合	Icon/BlueCard	card/006	1	3/1/3	Effects/GreenBloodExplosion	
1007	穿透	PiercedCard	10003	造成{0}点伤害，若斩杀，则永久获得{1}点生命值，每场战斗使用一次	Icon/BlueCard	card/007	1	10/3	Effects/GreenBloodExplosion	
1008	感知	PerceptionCard	10001	对随机两位敌人造成{0}点伤害，恢复自己的生命值（{1}*敌方单位数量）	Icon/BlueCard	card/008	2	5/5	Effects/SmokeExplosionDark	
1009	炎精的屏障	AddAndDefendCard	10001	造成{0}点伤害，获得{1}点格挡	Icon/BlueCard	card/009	1	5/5	Effects/GreenBloodExplosion	
1010	祭司的蔑视	DefendAndDrawCard	10003	获得{0}点格挡，抽{1}张牌	Icon/BlueCard	card/010	1	8/1	Effects/GreenBloodExplosion	
1011	愤怒的烈焰	BlueFireCard	10001	造成{0}点伤害，造成{1}点烧伤，烧伤持续{2}回合	Icon/BlueCard	card/011	2	10/2/2	Effects/GreenBloodExplosion	
1012	触手碾压	AttackCardItem	10001	对单个敌人进行{0}点的伤害	Icon/BlueCard	card/012	1	8	Effects/GreenBloodExplosion	
1013	印斯茅斯的咆哮	AttackCardItem	10001	对随机两位敌人造成4点伤害两次	Icon/BlueCard	card/020	1	8	Effects/GreenBloodExplosion	
1014	毒性喷射	DampPoisonCard	10001	对敌人挂上{0}层剧毒，若有敌人潮湿，则转为{1}层剧毒，每回合造成剧毒层数的伤害，层数每回合递减	Icon/BlueCard	card/023	1	4/6	Effects/GreenBloodExplosion	
1015	湍急的海流	DampAllCard	10001	随机两位敌人被挂上潮湿	Icon/BlueCard	card/021	0	0	Effects/GreenBloodExplosion	
1016	撕裂	DampAttackCard	10001	造成{0}点伤害，若敌人被施加了潮湿，则使潮湿转为{1}层剧毒，每回合造成剧毒层数的伤害，层数每回合递减	Icon/BlueCard	card/022	2	9/3	Effects/GreenBloodExplosion	
1017	深潜者的粘液	PoisonAttackCard	10001	造成{0}点伤害，给予{1}层剧毒	Icon/BlueCard	card/024	1	5/4	Effects/GreenBloodExplosion	
1018	剧毒皮肤	PosionDoubleCard	10001	使一名敌人的毒性翻倍	Icon/BlueCard	card/026	1	0	Effects/GreenBloodExplosion	
1019	远古愤怒	PowerAndAddCard	10001	获得{0}点行动值，抽{1}张牌	Icon/BlueCard	card/030	0	2/3	Effects/GreenBloodExplosion	
1020	索托斯迷境	AttackUnAttackCard	10001	造成{0}点伤害，使对手下回合行动值归零	Icon/BlueCard	card/039	2	13	Effects/GreenBloodExplosion	
