Id	Name	Hp	Attack	Defend	Model	EnemyAciton	Pow	
Id	名字	血量	攻击力	防御盾	怪物的模型路径	怪物行为	行动点	
10001	史莱姆	1	1	1	Model/Slime	1001/1000	2	
10002	石头人	10	10	3	Model/Golem	1000/1000/1001	2	
10003	乌龟	5	5	2	Model/TurtleShell	1000/1000/1001	2	
10004	蓝色小人	10	3	5	Model/BlueChar	1000/1001/1002/1003/1004	100	
10005	藤蔓人	25	0	10	Model/Enemy04	1007/1005/1005/1006/1005/1005	1	
10006	骑士	20	0	20	Model/Enemy06	1008/1006	1	
10007	幽灵	30	0	5	Model/Enemy05	1009/1010	1	
10008	小幽灵	15	0	0	Model/Enemy05	1009/1006	1	
10009	elite enemy01	80	0	20	Model/elite enemy01	1012/1014/1012/1011/1014/1013	2	
10010	boss3	120	0	20	Model/boss03	1006/1006/1007/1014/1010/1004/1005/1014/1011/1013	3	
10011	骑士	10	0	5	Model/Enemy06	1008/1006	1	
